CompanyID,Lifetime_Park Place,Lifetime_Boardwalk,Lifetime_StJamesPlace,Lifetime_Marvin Gardens,Lifetime_Ventnor,Lifetime_Kentucky,Lifetime_Tennessee,Lifetime_Pennslyvania,Last_Month_Park Place,Last_Month_Boardwalk,Last_Month_StJamesPlace,Last_Month_Marvin Gardens,Last_Month_Ventnor,Last_Month_Kentucky,Last_Month_Tennessee,Last_Month_Pennslyvania
539738219,,,,-0.075221315,,,,,,,,-0.171565957,,,,
371531285,,,,,,,-0.047182186,,,,,,,,-0.143650432,
356103192,,,,-0.024465908,,,,,,,,-0.127867573,,,,
347009068,,,,,,,-0.00499382,,,,,,,,-0.132388541,
50975877,,,,,,,-0.036823603,,,,,,,,-0.130297289,
37863465,,,,,,,-0.030678449,,,,,,,,-0.150828482,
8306975,,,-0.053180222,,,,,,,,-0.138911645,,,,,
346032199,,-0.04499009,,,,,-0.03012452,,,-0.134126013,,,,,-0.127054882,
2080787,,,,,,,-0.047548505,,,,,,,,-0.143755164,
986585,,0.20048386,,,,,,,,-0.068583857,,,,,,
10600958,,,,,,,-0.032430491,,,,,,,,-0.131228436,
1127729591,,0.024398389,,,,,,,,-0.099348224,,,,,,
72188869,,,,,,,0.369338017,,,,,,,,-0.014320799,
24775647,,-0.018511441,,,,,,,,-0.128233786,,,,,,
398108650,,,,-0.008591437,,,,,,,,-0.12965935,,,,
357451469,,,,,,,0.162835421,,,,,,,,-0.062200992,
44583978,0.066887616,,,,,,,,-0.103014928,,,,,,,
368816466,,,,,,,-0.004567669,,,,,,,,-0.084112098,
575162,,-0.041997293,,,,,,,,-0.141487667,,,,,,
348058664,,,-0.009751074,,,,,,,,-0.122192467,,,,,
372121937,,,,,,,-0.04019957,,,,,,,,-0.141668188,
7327933,,,,,-0.073293412,,,,,,,,-0.147148451,,,
358761696,,,0.01629871,,,,,,,,-0.092560854,,,,,
357922436,,,,,,,-0.07155338,,,,,,,,-0.151979537,
47563467,-0.050324434,2.260611295,,,,,,,-0.145977306,0.639390441,,,,,,
480086,,,-0.023434603,,,,,,,,-0.119828892,,,,,
43698125,,,,,,,0.019738322,,,,,,,,-0.116135135,
409559741,,,,,,-0.070172893,,,,,,,,-0.109890619,,
363774838,,-0.067739062,,,,,,,,-0.147198181,,,,,,
24609912,-0.07212828,2.703913708,,,,,,,-0.146909448,0.728450286,,,,,,
458078443,,,,,,,0.085554373,,,,,,,,-0.099693948,
344958910,,,-0.066245624,,,,,,,,-0.130495612,,,,,
66504682,,,,,,,-0.052427462,,,,,,,,-0.143641182,
346375656,,,-0.024998593,,,,,,,,-0.122675247,,,,,
60393187,,,,,,,0.121068358,,,,,,,,-0.064793325,
346650256,,-0.040808714,,,,,,,,-0.134550808,,,,,,
347952499,,,,,,-0.055435193,,,,,,,,-0.129912477,,
347030984,,,,-0.042576395,,,,,,,,-0.130148396,,,,
41865924,,,,,,,-0.039216509,,,,,,,,-0.14182454,
347178112,,,,,,,-0.047526205,,,,,,,,-0.130063457,
2361221,,-0.053648709,,,,,,,,-0.135708825,,,,,,
358511632,,-0.073461804,,,,,,,,-0.148988467,,,,,,
346097446,,,-0.043769102,,,,,,,,-0.187155068,,,,,
31492511,,,,,,,-0.045664042,,,,,,,,-0.144598786,
395433627,,,,,,,-0.013876582,,,,,,,,-0.133866521,
481308494,,,,-0.036707154,,,,,,,,-0.155304196,,,,
348444916,,,,-0.046727119,,,,,,,,-0.134343135,,,,
369901924,0.082322049,,,,,,,,-0.063791661,,,,,,,
464393491,,,,0.048145245,,,,,,,,-0.10795353,,,,
356937887,0.003676025,,,,,,,,-0.120403872,,,,,,,
371692234,,,,0.08724039,,,,,,,,-0.064742203,,,,
2048323,,,,-0.050191385,,,,,,,,-0.137633282,,,,
345602222,,,,,,,-0.035772431,,,,,,,,-0.141723388,
352939663,,,-0.063935161,,,,,,,,-0.133002907,,,,,
355685503,,,,,,,-0.029731471,,,,,,,,-0.117375604,
18059723,,0.035172408,,,,,,,,-0.117440253,,,,,,
449909523,,,,0.058688487,,,,,,,,-0.062691331,,,,
356789339,,,,,,,0.026027559,,,,,,,,-0.117752459,
346699408,,,0.055360707,,,,,,,,-0.078746314,,,,,
129958172,,,,,,,-0.047140785,,,,,,,,-0.143861785,
396037566,,,,-0.001825941,,,,,,,,-0.122609703,,,,
372021714,-0.050432487,,,,,,,,-0.135970505,,,,,,,
369784430,,-0.077224459,,,,,-0.07561079,,,-0.881855095,,,,,-0.792420881,
482494619,,,,,,,-0.011897273,,,,,,,,-0.110632692,
346804740,,,,,,-0.057002121,,,,,,,,-0.14619224,,
347508846,,,-0.071052259,,,,,,,,-0.264414046,,,,,
343557306,,,0.114053411,,,,,,,,-0.023450261,,,,,
355569639,,,,-0.061399721,,,,,,,,-0.141775903,,,,
346774408,,2.409809675,,,,,,,,0.702235432,,,,,,
347008324,-0.035188166,,,,,,,,-0.120910622,,,,,,,
354561884,0.019152149,,,,,,,,-0.105271981,,,,,,,
371626310,,,,,,,-0.063749035,,,,,,,,-0.117061707,
53350801,,-0.040205685,,,-0.076148703,,,,,-0.136274953,,,-0.242079537,,,
470768560,-0.044115804,-0.027774526,,,,,-0.012904642,,-0.12274288,-0.126895945,,,,,-0.133348333,
357078909,,,0.321693384,,,,,,,,0.104037368,,,,,
369209280,-0.067794247,-0.065083088,-0.067844099,,-0.071716037,-0.072909874,,,-0.151048588,-0.149030737,-0.143713291,,-0.143120308,-0.151048489,,
79530569,,,,,,,-0.043240541,,,,,,,,-0.135980749,
372048755,,,,,,,0.01102438,,,,,,,,,
466915299,,,0.812754002,,,,,,,,0.103602825,,,,,
397896710,,,,,,,-0.053820493,,,,,,,,-0.145430274,
348481318,-0.031614107,,,,,,,,-0.128904446,,,,,,,
38147372,,,,,,,-0.053436159,,,,,,,,-0.146138829,
356050257,,-0.006628655,,,,,,,,-0.125905221,,,,,,
437199885,,,,-0.042078615,,,,,,,,-0.073498092,,,,
470674229,,,,0.096234118,,,,,,,,-0.103671067,,,,
480576863,,,,-0.05651407,,,,,,,,,,,,
462258491,,,-0.024686991,,,,,,,,-0.128491288,,,,,
474232922,,,,-0.063910001,,,,,,,,-0.145706276,,,,
374926591,,,-0.033005222,,,,,,,,-0.119722867,,,,,
540704615,,,,,,-0.073306801,,,,,,,,-0.147198181,,
79696467,,,,,,,0.008241809,,,,,,,,-0.127861307,
226853350,,,,,,,-0.058783313,,,,,,,,-0.145009955,
42975513,,,-0.036730964,,,,,,,,-0.13064351,,,,,
354177597,-0.07561079,-0.075435452,-0.07526459,,,,-0.074007377,,-0.153066339,,-0.153066339,,,,-0.153066339,
414800196,,,,,,-0.026571658,,,,,,,,-0.126112993,,
145228615,,,,,,,-0.05714585,,,,,,,,-0.148133506,
344387689,,,0.006294826,,,,,,,,-0.12995972,,,,,
366182431,,,,,,,0.004251652,,,,,,,,-0.130035509,
372175531,0.005658073,,,,,,,,-0.100852362,,,,,,,
347198798,,,,,,,-0.027666157,,,,,,,,-0.135547699,
32080939,,,-0.043088347,,,,,,,,-0.13504622,,,,,
39371338,,,,,,,0.086272388,,,,,,,,-0.121994939,
441325878,,,,,,-0.054921687,,,,,,,,-0.139078341,,
